Name/lfdNr;Name2;Langname;Gelenk 1;;;;;;;;;;;;;Gelenk 2;;;;;;;;;;;;;Gelenk 3;;;;;;;;;;;;;Gelenk 4;;;;;;;;;;;;;Gelenk 5;;;;;;;;;;;;;Gelenk 6;;;;;;;;;;;;;Allgemein;
;;;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Nenn-Traglast;Masse
S6RRRRRR10_KUKA23;KUKA;KR 90 R3700 prime K;R;0;0;0;0;q1;590;0;-185;185;105;-1;-20;R;0;0;90;750;q2;0;0;-70;120;107;1;120;R;0;0;0;1350;0;0;0;-210;65;114;1;20;R;0;0;90;41;q4;1600;0;-350;350;292;1;0;R;0;0;90;0;q5;0;0;-125;125;258;1;0;R;0;0;90;0;q6;-215;0;-350;350;284;1;0;120;1192
S6RRRRRR10_KUKA24;KUKA;KR 270 R3100 ultra K;R;0;0;0;0;q1;590;0;-185;185;105;-1;-20;R;0;0;90;750;q2;0;0;-70;120;101;1;120;R;0;0;0;1150;0;0;0;-210;65;107;1;20;R;0;0;90;41;q4;1200;0;-350;350;122;1;0;R;0;0;90;0;q5;0;0;-122.5;122.5;113;1;0;R;0;0;90;0;q6;-240;0;-350;350;175;1;0;90;1204
S6RRRRRR10_KUKA25;KUKA;KR 270 R2900 ultra K;R;0;0;0;0;q1;590;0;-185;185;105;-1;-20;R;0;0;90;750;q2;0;0;-70;120;101;1;100;R;0;0;0;1150;0;0;0;-210;65;107;1;20;R;0;0;90;41;q4;1000;0;-350;350;122;1;0;R;0;0;90;0;q5;0;0;-122.5;122.5;113;1;0;R;0;0;90;0;q6;-240;0;-350;350;175;1;0;270;1198
S6RRRRRR10_KUKA26;KUKA;KR 240 R3100 ultra K;R;0;0;0;0;q1;590;0;-185;185;105;-1;-20;R;0;0;90;750;q2;0;0;-70;120;101;1;100;R;0;0;0;1150;0;0;0;-210;65;107;1;20;R;0;0;90;41;q4;1200;0;-350;350;136;1;0;R;0;0;90;0;q5;0;0;-122.5;122.5;129;1;0;R;0;0;90;0;q6;-240;0;-350;350;206;1;0;270;1189
S6RRRRRR10_KUKA27;KUKA;KR 210 R3300 ultra K;R;0;0;0;0;q1;590;0;-185;185;105;-1;-20;R;0;0;90;750;q2;0;0;-70;120;101;1;100;R;0;0;0;1350;0;0;0;-210;65;107;1;20;R;0;0;90;41;q4;1200;0;-350;350;136;1;0;R;0;0;90;0;q5;0;0;-122.5;122.5;129;1;0;R;0;0;90;0;q6;-240;0;-350;350;206;1;0;240;1198
S6RRRRRR10_KUKA28;KUKA;KR 180 R3500 ultra K;R;0;0;0;0;q1;590;0;-185;185;105;-1;-20;R;0;0;90;750;q2;0;0;-70;120;107;1;100;R;0;0;0;1350;0;0;0;-210;65;114;1;20;R;0;0;90;41;q4;1400;0;-350;350;179;1;0;R;0;0;90;0;q5;0;0;-122.5;122.5;172;1;0;R;0;0;90;0;q6;-215;0;-350;350;219;1;0;210;1214
S6RRRRRR10_KUKA29;KUKA;KR 180 R3500 ultra K;R;0;0;0;0;q1;590;0;-185;185;105;-1;-20;R;0;0;90;750;q2;0;0;-70;120;107;1;100;R;0;0;0;1350;0;0;0;-210;65;114;1;20;R;0;0;90;41;q4;1400;0;-350;350;179;1;0;R;0;0;90;0;q5;0;0;-122.5;122.5;172;1;0;R;0;0;90;0;q6;-240;0;-350;350;219;1;0;180;1201
S6RRRRRR10_KUKA30;KUKA;KR 150 R3700 ultra K;R;0;0;0;0;q1;590;0;-185;185;105;-1;-20;R;0;0;90;750;q2;0;0;-70;120;107;1;100;R;0;0;0;1350;0;0;0;-210;65;114;1;20;R;0;0;90;41;q4;1600;0;-350;350;179;1;0;R;0;0;90;0;q5;0;0;-122.5;122.5;172;1;0;R;0;0;90;0;q6;-215;0;-350;350;219;1;0;180;1201
S6RRRRRR10_KUKA31;KUKA;KR 150 R3700 ultra K;R;0;0;0;0;q1;590;0;-185;185;105;-1;-20;R;0;0;90;750;q2;0;0;-70;120;107;1;100;R;0;0;0;1350;0;0;0;-210;65;114;1;20;R;0;0;90;41;q4;1600;0;-350;350;179;1;0;R;0;0;90;0;q5;0;0;-122.5;122.5;172;1;0;R;0;0;90;0;q6;-240;0;-350;350;219;1;0;150;1215
S6RRRRRR10_KUKA32;KUKA;KR 120 R3900 ultra K;R;0;0;0;0;q1;590;0;-185;185;105;-1;-20;R;0;0;90;750;q2;0;0;-70;120;101;1;100;R;0;0;0;1350;0;0;0;-210;65;107;1;20;R;0;0;90;41;q4;1800;0;-350;350;292;1;0;R;0;0;90;0;q5;0;0;-125;125;258;1;0;R;0;0;90;0;q6;-215;0;-350;350;284;1;0;150;1215
